Title,Hot,Link
为何泰柬冲突仍在继续？双方矛盾有调和的可能吗？,2598 万热度,https://api.zhihu.com/questions/1983500735120425670
35 万玛莎拉蒂两天被抢空，暴降 54 万，如何看待豪车以价换量的方式？豪华品牌如何打破这一怪圈？,504 万热度,https://api.zhihu.com/questions/1983989913109096162
科学家发现用丝瓜络制作战机隐身涂层，可吸收 99.99% 雷达信号，是什么原理？会降低隐身战机成本吗？,285 万热度,https://api.zhihu.com/questions/1983952300432179846
蜜雪冰城进军北美，外卖预售套餐 3.99 美元，能复制国内的成功吗？可选 200%糖度，真的好喝吗？,275 万热度,https://api.zhihu.com/questions/1984194337068770415
“碰一碰”支付比“扫一扫”还方便，可为啥这么久都没火？,243 万热度,https://api.zhihu.com/questions/365759166
360 回应「前高管玉红指控周鸿祎财务造假」，称全背离事实，具体情况如何？,192 万热度,https://api.zhihu.com/questions/1984280080311137958
华为多位高管调整，余承东接任华为终端公司董事长，孟晚舟、徐直军等卸任董事，对公司发展可能有哪些影响？,141 万热度,https://api.zhihu.com/questions/1984227946542692071
陕西铜川一教师疑似微信群发言希望学生「全都甲流」，教育局正调查，如何看待这一言论？,133 万热度,https://api.zhihu.com/questions/1984233497255236989
不少摊主在摊位「打窝」，卖甘蔗先铺甘蔗皮，卖衣服先撒包装袋，这种做法真能吸引顾客吗？你会因此而光顾吗？,131 万热度,https://api.zhihu.com/questions/1983915515903771156
我囤了1000把剑卖给铁匠，他依然原价收购，什么情况游戏会采用更真实的经济系统？,130 万热度,https://api.zhihu.com/questions/1983933310360130680
如何看待2025年12月16日A股行情？为何突然全线下跌？,123 万热度,https://api.zhihu.com/questions/1983679610366468134
中国卫星与美「星链」卫星惊险「擦肩」，相距仅 200 米，到底怎么回事？为什么会出现这一状况？,116 万热度,https://api.zhihu.com/questions/1984028148086563639
「天价救护车」事件涉事医院被罚没 8.7 万元，具体涉及哪些违规行为？这场争议背后哪些问题值得深思？,99 万热度,https://api.zhihu.com/questions/1984247382183999280
拉瑞安工作室新作《神界》于 TGA2025 首曝，对此你有哪些期待？,98 万热度,https://api.zhihu.com/questions/1982753245379175017
海南自贸港12月18日即将封关，「零关税」和「双15%」个税优惠政策将有什么变化？带来哪些利好？,97 万热度,https://api.zhihu.com/questions/1982799203265713880
如何看待最近的新梗「爱你老己，明天见」？它为何能迅速引发共鸣？,90 万热度,https://api.zhihu.com/questions/1982958749170807828
如何看待视频博主东山后裔声称《永乐大典》里有蒸汽机原理？,86 万热度,https://api.zhihu.com/questions/1981524659863323420
老鼠为什么没能成为人类的食物？,83 万热度,https://api.zhihu.com/questions/1949084350554552150
如果你有300万存款，你还会继续辛苦上班吗？为什么？,78 万热度,https://api.zhihu.com/questions/426065915
什么啤酒让你第一次喝觉得震撼？,72 万热度,https://api.zhihu.com/questions/21993069
原生家庭对孩子会带来多大的影响？,69 万热度,https://api.zhihu.com/questions/32276813
《士兵突击》里老a选拔时第一个冲过去的到底是谁?,66 万热度,https://api.zhihu.com/questions/622835324
扫地机器人鼻祖 iRobot 申请破产，中国公司将获其 100% 股权，它衰落的原因是什么？,58 万热度,https://api.zhihu.com/questions/1983957113387622537
韩国人有没有想过用阿根廷牛肉，猪脚饭来提高老百姓肉食蛋白质量?,58 万热度,https://api.zhihu.com/questions/6829552936
荣耀性能系列从「GT」更迭为「WIN」，对于这个系列的发展有什么意义？,57 万热度,https://api.zhihu.com/questions/1984031812759090805
如何看待鸭科夫争议事件，官方态度卑微，引起玩家不满？,57 万热度,https://api.zhihu.com/questions/1983914966642864838
听说“睡前玩手机会导致失眠”，是因为蓝光抑制褪黑素分泌，还是其他原因？,55 万热度,https://api.zhihu.com/questions/1979537462989713548
67℃  火焰山到  -30℃  极寒地，格力 100 小时直播做硬核测试，是科技实力还是博取流量？,55 万热度,https://api.zhihu.com/questions/1983901582753040007
2526赛季NBA常规赛火箭 125:128 掘金，如何评价这场比赛？,55 万热度,https://api.zhihu.com/questions/1984212038457775245
为什么隐身战斗机使用有源雷达？ 一旦发射电磁波，不是很容易被敌方探测到吗？,55 万热度,https://api.zhihu.com/questions/1937460049028027737
